# P0-T6 Scoped Line-Count Baseline

Timestamp: 2026-08-12T05-05
Command: Enumerate existing production, test, reusable script, persona, and runtime-configuration paths cited by `evidence/baseline/scope.md`; count physical lines with PowerShell `Get-Content`.
EXIT_CODE: 0
Output Summary: 104 scoped files counted; 104 are at or below 500 physical lines; 0 exceed 500; no pre-edit split task is required.

Limit: 500 physical lines
Result: PASS

LINES	RESULT	PATH
318	PASS	scripts/dev_tools/_parallel_orchestrator_state_receipt_cohort.py
285	PASS	scripts/dev_tools/_parallel_orchestrator_state_resume_truth.py
339	PASS	scripts/dev_tools/parallel_codex_readiness_filesystem.py
418	PASS	scripts/dev_tools/parallel_kickoff_contract.py
190	PASS	scripts/dev_tools/push_down_codex_routing_merge.py
299	PASS	scripts/dev_tools/resolve_codex_deployment.py
353	PASS	scripts/dev_tools/resolve_codex_topology.py
465	PASS	scripts/dev_tools/validate_parallel_codex_readiness.py
158	PASS	scripts/powershell/PoshQC/settings/pester.runsettings.psd1
203	PASS	tests/scripts/codex-hooks/codex-child-launch-resume-core.Tests.ps1
191	PASS	tests/scripts/codex-hooks/codex-epic-runtime-contracts.Tests.ps1
471	PASS	tests/scripts/codex-hooks/codex-parallel-registered-transport.Tests.ps1
474	PASS	tests/scripts/codex-hooks/epic-child-launch-hardening.Tests.ps1
497	PASS	tests/scripts/codex-hooks/epic-child-worktree-launcher.Tests.ps1
186	PASS	tests/scripts/codex-hooks/model-profile-attestation.Tests.ps1
279	PASS	tests/scripts/codex-hooks/parallel-child-post-session.Tests.ps1
288	PASS	tests/scripts/codex-hooks/parallel-child-resume-live-truth.Tests.ps1
317	PASS	tests/scripts/codex-hooks/parallel-child-worktree-launcher.Tests.ps1
267	PASS	tests/scripts/codex-hooks/parallel-completion-compensating-controls.Tests.ps1
175	PASS	tests/scripts/codex-hooks/parallel-provenance.Tests.ps1
267	PASS	tests/scripts/dev_tools/test_parallel_codex_readiness_filesystem.py
240	PASS	tests/scripts/dev_tools/test_parallel_completion_receipts.py
480	PASS	tests/scripts/dev_tools/test_parallel_kickoff_contract.py
262	PASS	tests/scripts/dev_tools/test_parallel_mutation_receipt_bound_runtime.py
286	PASS	tests/scripts/dev_tools/test_parallel_receipt_bound_cohort.py
243	PASS	tests/scripts/dev_tools/test_parallel_resume_truth.py
385	PASS	tests/scripts/dev_tools/test_push_down_codex_and_agents_pack_manifest_completeness.py
317	PASS	tests/scripts/dev_tools/test_push_down_codex_and_agents_resource_contracts.py
186	PASS	tests/scripts/dev_tools/test_push_down_codex_routing_merge.py
250	PASS	tests/scripts/dev_tools/test_resolve_codex_deployment.py
259	PASS	tests/scripts/dev_tools/test_resolve_codex_topology.py
359	PASS	tests/scripts/dev_tools/test_validate_parallel_codex_readiness.py
